gene,error
Trim30a,erro inesperado: RetryError[<Future at 0x2447b649c70 state=finished raised HTTPError>]
9930111J21Rik1,erro inesperado: RetryError[<Future at 0x2447b64bdd0 state=finished raised HTTPError>]
Ankrd17,erro inesperado: RetryError[<Future at 0x2447b6763f0 state=finished raised HTTPError>]
Apobec3,erro inesperado: RetryError[<Future at 0x2447b68c650 state=finished raised HTTPError>]
Bst2,erro inesperado: RetryError[<Future at 0x2447b68e6f0 state=finished raised HTTPError>]
Ccl2,erro inesperado: RetryError[<Future at 0x2447b677020 state=finished raised HTTPError>]
Ccr1,erro inesperado: RetryError[<Future at 0x2447ae884a0 state=finished raised HTTPError>]
Ccrl2,erro inesperado: RetryError[<Future at 0x2447b6ac5c0 state=finished raised HTTPError>]
Cd274,erro inesperado: RetryError[<Future at 0x2447b6ae9f0 state=finished raised HTTPError>]
Cd74,erro inesperado: RetryError[<Future at 0x2447b89c9b0 state=finished raised HTTPError>]
Cd86,erro inesperado: RetryError[<Future at 0x2447b89e870 state=finished raised HTTPError>]
Clec4a1,erro inesperado: RetryError[<Future at 0x2447b89f530 state=finished raised HTTPError>]
Clec4d,erro inesperado: RetryError[<Future at 0x244780d91c0 state=finished raised HTTPError>]
Ctsh,erro inesperado: RetryError[<Future at 0x2447b89f620 state=finished raised HTTPError>]
Dap,erro inesperado: RetryError[<Future at 0x2447b89f5c0 state=finished raised HTTPError>]
Dhx58,erro inesperado: RetryError[<Future at 0x2447b8a1d60 state=finished raised HTTPError>]
Dock4,erro inesperado: RetryError[<Future at 0x2447b8a21e0 state=finished raised HTTPError>]
Fcgr1,erro inesperado: RetryError[<Future at 0x2447b8a2210 state=finished raised HTTPError>]
Fcgr4,erro inesperado: RetryError[<Future at 0x2447b8a25a0 state=finished raised HTTPError>]
Gbp2,erro inesperado: RetryError[<Future at 0x2447ae850a0 state=finished raised HTTPError>]
Gbp4,erro inesperado: RetryError[<Future at 0x2447b89f530 state=finished raised HTTPError>]
Gbp5,erro inesperado: RetryError[<Future at 0x2447ae85e20 state=finished raised HTTPError>]
Gbp6,erro inesperado: RetryError[<Future at 0x2447b8a1cd0 state=finished raised HTTPError>]
Gbp7,erro inesperado: RetryError[<Future at 0x2447b039c70 state=finished raised HTTPError>]
Gbp9,erro inesperado: RetryError[<Future at 0x2447ae87860 state=finished raised HTTPError>]
Gm12185,erro inesperado: RetryError[<Future at 0x2447ae84320 state=finished raised HTTPError>]
Gm5431,erro inesperado: RetryError[<Future at 0x2447b56c5f0 state=finished raised HTTPError>]
Gsdmd,erro inesperado: RetryError[<Future at 0x2447ae87860 state=finished raised HTTPError>]
H2-D1,erro inesperado: RetryError[<Future at 0x2447b8a3230 state=finished raised HTTPError>]
H2-K1,erro inesperado: RetryError[<Future at 0x2447b8a1d60 state=finished raised HTTPError>]
H2-Q4,erro inesperado: RetryError[<Future at 0x2447b8a1d90 state=finished raised HTTPError>]
H2-Q6,erro inesperado: RetryError[<Future at 0x2447b8a1a60 state=finished raised HTTPError>]
H2-Q7,erro inesperado: RetryError[<Future at 0x2447b8a3800 state=finished raised HTTPError>]
H2-T23,erro inesperado: RetryError[<Future at 0x2447ae87860 state=finished raised HTTPError>]
H2-T24,erro inesperado: RetryError[<Future at 0x2447b8a3740 state=finished raised HTTPError>]
Hck,erro inesperado: RetryError[<Future at 0x2447b8a39e0 state=finished raised HTTPError>]
Ifi44,erro inesperado: RetryError[<Future at 0x2447b56c470 state=finished raised HTTPError>]
Ifih1,erro inesperado: RetryError[<Future at 0x2447b8a23c0 state=finished raised HTTPError>]
Ifitm2,erro inesperado: RetryError[<Future at 0x2447b8a34a0 state=finished raised HTTPError>]
Ifit2,erro inesperado: RetryError[<Future at 0x2447b8a1280 state=finished raised HTTPError>]
Ifit3,erro inesperado: RetryError[<Future at 0x2447b56c470 state=finished raised HTTPError>]
Ifit3b,erro inesperado: RetryError[<Future at 0x2447b8a1430 state=finished raised HTTPError>]
Ifitm2,erro inesperado: RetryError[<Future at 0x2447aa83ef0 state=finished raised HTTPError>]
Igtp,erro inesperado: RetryError[<Future at 0x2447b8a2c90 state=finished raised HTTPError>]
Iigp1,erro inesperado: RetryError[<Future at 0x2447b8a34a0 state=finished raised HTTPError>]
Il1a,erro inesperado: RetryError[<Future at 0x2447ae845c0 state=finished raised HTTPError>]
Il1b,erro inesperado: RetryError[<Future at 0x2447b8a2870 state=finished raised HTTPError>]
Il1rn,erro inesperado: RetryError[<Future at 0x2447b8a3b60 state=finished raised HTTPError>]
Il36g,erro inesperado: RetryError[<Future at 0x2447ae845c0 state=finished raised HTTPError>]
Irak3,erro inesperado: RetryError[<Future at 0x2447ae862a0 state=finished raised HTTPError>]
Irgm1,erro inesperado: RetryError[<Future at 0x2447b8a3d70 state=finished raised HTTPError>]
Irgm2,erro inesperado: RetryError[<Future at 0x2447b8a22a0 state=finished raised HTTPError>]
Isg20,erro inesperado: RetryError[<Future at 0x2447ae84fe0 state=finished raised HTTPError>]
Lyn,erro inesperado: RetryError[<Future at 0x2447b8a3110 state=finished raised HTTPError>]
Mefv,erro inesperado: RetryError[<Future at 0x2447b8a2ed0 state=finished raised HTTPError>]
Nos2,erro inesperado: RetryError[<Future at 0x2447ae68c20 state=finished raised HTTPError>]
Oas1a,erro inesperado: RetryError[<Future at 0x2447b8a2300 state=finished raised HTTPError>]
Oas2,erro inesperado: RetryError[<Future at 0x2447b8a2000 state=finished raised HTTPError>]
Oas3,erro inesperado: RetryError[<Future at 0x2447b8a1340 state=finished raised HTTPError>]
Oasl1,erro inesperado: RetryError[<Future at 0x2447b8a2b40 state=finished raised HTTPError>]
Oasl2,erro inesperado: RetryError[<Future at 0x2447ae87f20 state=finished raised HTTPError>]
Pml,erro inesperado: RetryError[<Future at 0x2447b8a1c70 state=finished raised HTTPError>]
Rel,erro inesperado: RetryError[<Future at 0x2447b8d9100 state=finished raised HTTPError>]
Relb,erro inesperado: RetryError[<Future at 0x2447aa4f230 state=finished raised HTTPError>]
Ripk2,erro inesperado: RetryError[<Future at 0x2447b8a2c60 state=finished raised HTTPError>]
Sema4a,erro inesperado: RetryError[<Future at 0x2447b8a1dc0 state=finished raised HTTPError>]
Slfn8,erro inesperado: RetryError[<Future at 0x2447b8a1a90 state=finished raised HTTPError>]
Slfn9,erro inesperado: RetryError[<Future at 0x2447b8a20f0 state=finished raised HTTPError>]
Src,erro inesperado: RetryError[<Future at 0x2447b8a1b20 state=finished raised HTTPError>]
Stat1,erro inesperado: RetryError[<Future at 0x2447b8d9490 state=finished raised HTTPError>]
Stat2,erro inesperado: RetryError[<Future at 0x2447ae846e0 state=finished raised HTTPError>]
Sting1,erro inesperado: RetryError[<Future at 0x2447b8a3710 state=finished raised HTTPError>]
Syk,erro inesperado: RetryError[<Future at 0x2447b8a2570 state=finished raised HTTPError>]
Tlr9,erro inesperado: RetryError[<Future at 0x2447b8a1b20 state=finished raised HTTPError>]
Tnfrsf14,erro inesperado: RetryError[<Future at 0x2447b8a3770 state=finished raised HTTPError>]
Tnip1,erro inesperado: RetryError[<Future at 0x2447b8a1c10 state=finished raised HTTPError>]
Tnip3,erro inesperado: RetryError[<Future at 0x2447b8d97c0 state=finished raised HTTPError>]
Trim12a,erro inesperado: RetryError[<Future at 0x2447b8d8590 state=finished raised HTTPError>]
Trim21,erro inesperado: RetryError[<Future at 0x2447ab51940 state=finished raised HTTPError>]
Trim30d,erro inesperado: RetryError[<Future at 0x2447b6ad1f0 state=finished raised HTTPError>]
Trim56,erro inesperado: RetryError[<Future at 0x2447ae85a60 state=finished raised HTTPError>]
Uba7,erro inesperado: RetryError[<Future at 0x2447b8a3d70 state=finished raised HTTPError>]
Zc3hav1,erro inesperado: RetryError[<Future at 0x2447b8a1f70 state=finished raised HTTPError>]
